wavelength,u,g,r,i,z,Y
524,0.00003,0.35843,0.00030,0.00055,0.00051,0.00060
525,0.00003,0.35922,0.00033,0.00055,0.00051,0.00068
526,0.00003,0.36046,0.00036,0.00056,0.00050,0.00076
527,0.00003,0.35977,0.00040,0.00056,0.00050,0.00083
528,0.00003,0.36034,0.00043,0.00057,0.00050,0.00091
529,0.00003,0.36029,0.00042,0.00057,0.00049,0.00099
530,0.00004,0.36066,0.00042,0.00056,0.00049,0.00092
531,0.00004,0.36117,0.00050,0.00055,0.00049,0.00084
532,0.00004,0.36331,0.00058,0.00055,0.00049,0.00077
533,0.00004,0.36362,0.00064,0.00054,0.00049,0.00069
534,0.00004,0.36550,0.00071,0.00053,0.00049,0.00061
535,0.00004,0.36708,0.00079,0.00052,0.00049,0.00054
536,0.00004,0.36876,0.00087,0.00051,0.00049,0.00046
537,0.00004,0.36906,0.00096,0.00050,0.00049,0.00039
538,0.00004,0.36849,0.00104,0.00050,0.00049,0.00031
539,0.00004,0.36500,0.00115,0.00049,0.00049,0.00023
540,0.00004,0.36467,0.00134,0.00048,0.00049,0.00016
541,0.00004,0.36242,0.00146,0.00047,0.00049,0.00024
542,0.00004,0.36734,0.00167,0.00046,0.00054,0.00032
543,0.00004,0.37160,0.00189,0.00045,0.00058,0.00040
544,0.00004,0.37607,0.00212,0.00043,0.00063,0.00048
545,0.00004,0.32277,0.00241,0.00042,0.00068,0.00056
546,0.00004,0.32495,0.00270,0.00041,0.00073,0.00064
547,0.00004,0.24254,0.00303,0.00040,0.00077,0.00073
548,0.00004,0.13981,0.00335,0.00039,0.00082,0.00081
549,0.00004,0.06281,0.00388,0.00038,0.00087,0.00089
550,0.00004,0.06486,0.00442,0.00037,0.00092,0.00097
551,0.00004,0.01255,0.00573,0.00034,0.00090,0.00095
552,0.00004,0.00601,0.00531,0.00032,0.00088,0.00093
553,0.00005,0.00317,0.00596,0.00030,0.00086,0.00091
554,0.00005,0.00165,0.00661,0.00027,0.00084,0.00089
555,0.00005,0.00304,0.00749,0.00025,0.00082,0.00086
556,0.00005,0.00059,0.00836,0.00022,0.00080,0.00084
557,0.00005,0.00042,0.00955,0.00020,0.00079,0.00082
558,0.00005,0.00032,0.01075,0.00017,0.00077,0.00080
559,0.00005,0.00038,0.01931,0.00015,0.00075,0.00078
560,0.00005,0.00023,0.02784,0.00012,0.00073,0.00075
561,0.00004,0.00020,0.02576,0.00012,0.00071,0.00071
562,0.00004,0.00019,0.02368,0.00011,0.00069,0.00066
563,0.00004,0.00016,0.04039,0.00010,0.00067,0.00061
564,0.00004,0.00025,0.05710,0.00009,0.00065,0.00056
565,0.00003,0.00014,0.11081,0.00009,0.00063,0.00051
566,0.00003,0.00013,0.16462,0.00008,0.00061,0.00046
567,0.00003,0.00012,0.24803,0.00007,0.00060,0.00042
568,0.00002,0.00012,0.33040,0.00007,0.00057,0.00037
569,0.00002,0.00011,0.36801,0.00006,0.00055,0.00032
570,0.00002,0.00011,0.40715,0.00005,0.00053,0.00027
571,0.00001,0.00017,0.41438,0.00004,0.00052,0.00022
572,0.00001,0.00010,0.41838,0.00004,0.00049,0.00024
573,0.00001,0.00009,0.42087,0.00004,0.00046,0.00026
574,0.00001,0.00009,0.42271,0.00004,0.00043,0.00028
575,0.00001,0.00010,0.42406,0.00004,0.00041,0.00029
576,0.00001,0.00009,0.42675,0.00005,0.00038,0.00031
577,0.00001,0.00009,0.42892,0.00005,0.00035,0.00033
578,0.00001,0.00009,0.43111,0.00005,0.00032,0.00035
579,0.00001,0.00009,0.43298,0.00005,0.00030,0.00037
580,0.00001,0.00009,0.43554,0.00005,0.00027,0.00039
581,0.00001,0.00008,0.43914,0.00005,0.00027,0.00045
582,0.00001,0.00008,0.44276,0.00005,0.00027,0.00050
583,0.00001,0.00008,0.44427,0.00005,0.00027,0.00056
584,0.00001,0.00008,0.44578,0.00005,0.00027,0.00061
585,0.00001,0.00008,0.44594,0.00005,0.00027,0.00067
586,0.00001,0.00008,0.44610,0.00005,0.00027,0.00072
